id,fluency,grammar,semantics,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
846,1.0,1.5,1.5,-3.0645740032196045,-3.33231258392334,"[0.4716496467590332, 0.4738025963306427, 0.39240023493766785]","[0.5311649441719055, 0.5825449228286743, 0.5041491985321045]","[0.4996412396430969, 0.5225766897201538, 0.441310316324234]","[0.7, 0.6, 0.4]","[0.3333333333333333, 0.35294117647058826, 0.25]","[0.4516128988553591, 0.4444444397805213, 0.3076923029585799]","[0.08333333333333333, 0.08333333333333333, 0.0]","[0.047619047619047616, 0.058823529411764705, 0.0]","[0.060606055977961794, 0.06896551239001224, 0.0]","[0.6, 0.5, 0.3]","[0.2857142857142857, 0.29411764705882354, 0.1875]","[0.38709676982310093, 0.3703703657064472, 0.23076922603550304]","[0.1593625498007968, 0.2936046511627907, 0.1213592233009709]","[7.073675849566084e-232, 7.073675849566084e-232, 7.073675849566084e-232]","[-0.016467237035341142, -0.008467736299141881, -0.09386657543543975]",0.1022067647031737,0.21484866628380112,0.265988617575407,0.029800453946511932,0.17021257926857336
847,1.6666666666666667,2.0,1.0,-6.43039083480835,-5.723293304443359,"[0.5231708884239197, 0.5333812236785889, 0.46956610679626465]","[0.42059797048568726, 0.47232943773269653, 0.42400306463241577]","[0.46631038188934326, 0.501002311706543, 0.4456229507923126]","[0.375, 0.375, 0.25]","[0.14285714285714285, 0.17647058823529413, 0.125]","[0.20689654772889424, 0.23999999564800004, 0.16666666222222234]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.375, 0.25, 0.125]","[0.14285714285714285, 0.11764705882352941, 0.0625]","[0.20689654772889424, 0.1599999956480001, 0.08333332888888913]","[0.091324200913242, 0.1366120218579235, 0.08620689655172413]","[9.788429383461836e-232, 9.788429383461836e-232, 9.005789782247613e-232]","[-0.08415463491354047, -0.044830598832946045, -0.13303691412845597]",0.00511407667241,0.0017139472365878797,0.008299330545210412,0.0007247678213856205,0.0035793485343946375
848,2.0,2.5,2.0,-4.489662170410156,-3.3252224922180176,"[0.6992773413658142, 0.7028647661209106, 0.747833788394928]","[0.6134450435638428, 0.6857973337173462, 0.708946943283081]","[0.6535550951957703, 0.6942262053489685, 0.7278714179992676]","[0.6666666666666666, 0.5833333333333334, 0.6666666666666666]","[0.38095238095238093, 0.4117647058823529, 0.5]","[0.4848484802203858, 0.4827586158382878, 0.5714285665306124]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.09523809523809523, 0.11764705882352941, 0.125]","[0.12121211658402223, 0.13793102963139137, 0.14285713795918387]","[0.4166666666666667, 0.5, 0.5]","[0.23809523809523808, 0.35294117647058826, 0.375]","[0.3030302984022039, 0.41379309859690844, 0.4285714236734694]","[0.311435115356684, 0.4144144144144144, 0.3910634118967453]","[9.418382295637229e-232, 9.418382295637229e-232, 9.418382295637229e-232]","[0.3682037577861713, 0.4532676369704888, 0.4286462527224758]",0.7153861331250987,0.8347751181382178,0.8595728947658525,0.06638654626332259,0.5869115197224644
849,3.0,3.0,3.0,-3.338001251220703,-2.606066465377808,"[0.8036582469940186, 0.819625973701477, 0.8247435688972473]","[0.7189875841140747, 0.7880376577377319, 0.7577757835388184]","[0.7589687705039978, 0.8035215139389038, 0.7898427248001099]","[0.8666666666666667, 0.8, 0.6666666666666666]","[0.6190476190476191, 0.7058823529411765, 0.625]","[0.7222222173611111, 0.7499999950195314, 0.6451612853277836]","[0.42857142857142855, 0.35714285714285715, 0.2857142857142857]","[0.2857142857142857, 0.29411764705882354, 0.25]","[0.3428571380571429, 0.3225806402081166, 0.266666661688889]","[0.6, 0.5333333333333333, 0.5333333333333333]","[0.42857142857142855, 0.47058823529411764, 0.5]","[0.499999995138889, 0.49999999501953135, 0.5161290272632676]","[0.5692321771758031, 0.6409201658070437, 0.5383508218033245]","[1.0832677820940877e-231, 1.0832677820940877e-231, 9.109159947227211e-232]","[0.47376989961336813, 0.5598562967205538, 0.5147901074635011]",0.5327271558375914,0.9485931820790222,0.9457846437733426,0.8227485278051576,0.9057087845525075
850,2.333333333333333,2.6666666666666665,2.0,-4.220946311950684,-3.789851188659668,"[0.5998629927635193, 0.5810370445251465, 0.5819068551063538]","[0.5808008909225464, 0.6099300384521484, 0.605807900428772]","[0.5901780724525452, 0.5951330661773682, 0.5936168432235718]","[0.7272727272727273, 0.6363636363636364, 0.6363636363636364]","[0.38095238095238093, 0.4117647058823529, 0.4375]","[0.49999999548828133, 0.49999999522959193, 0.5185185136899864]","[0.25, 0.25, 0.16666666666666666]","[0.14285714285714285, 0.17647058823529413, 0.125]","[0.18181817719008275, 0.20689654687277062, 0.14285713795918387]","[0.6363636363636364, 0.6363636363636364, 0.45454545454545453]","[0.3333333333333333, 0.4117647058823529, 0.3125]","[0.4374999954882812, 0.49999999522959193, 0.3703703655418381]","[0.3673390652557319, 0.3735871010638298, 0.3923708100558659]","[8.972141065609098e-232, 8.972141065609098e-232, 8.972141065609098e-232]","[0.30085895543176167, 0.35838050276790046, 0.3587923995085107]",0.656107563683139,0.7853168117503987,0.6825884117561865,0.4550226521789843,0.6409759585618565
851,2.333333333333333,2.0,1.3333333333333333,-5.178703784942627,-3.06939697265625,"[0.7255160808563232, 0.735432505607605, 0.7755658626556396]","[0.4807369112968445, 0.5485768914222717, 0.5500216484069824]","[0.5782905220985413, 0.6284085512161255, 0.6436059474945068]","[1.0, 1.0, 1.0]","[0.19047619047619047, 0.23529411764705882, 0.25]","[0.319999997312, 0.38095237786848074, 0.39999999680000003]","[0.6666666666666666, 1.0, 0.3333333333333333]","[0.09523809523809523, 0.17647058823529413, 0.0625]","[0.16666666447916667, 0.29999999745000006, 0.10526315523545714]","[1.0, 1.0, 0.75]","[0.19047619047619047, 0.23529411764705882, 0.1875]","[0.319999997312, 0.38095237786848074, 0.2999999968]","[0.21037735849056605, 0.27499999999999997, 0.2227544910179641]","[1.2183324802375697e-231, 1.2183324802375697e-231, 1.2183324802375697e-231]","[0.14821469607646065, 0.20498143052403406, 0.20198083511565312]",0.5902791480519679,0.5470480456189877,0.596865892831736,0.013293075168303036,0.3857356712063423
852,1.0,1.6666666666666667,2.333333333333333,-2.48180890083313,-3.695813179016113,"[0.569707989692688, 0.5548191666603088, 0.5972727537155151]","[0.515945553779602, 0.565291166305542, 0.5941150188446045]","[0.5414956212043762, 0.5600062012672424, 0.5956897139549255]","[0.7777777777777778, 0.8888888888888888, 0.8888888888888888]","[0.3333333333333333, 0.47058823529411764, 0.5]","[0.46666666246666666, 0.6153846108579881, 0.639999995392]","[0.2, 0.3, 0.3]","[0.09523809523809523, 0.17647058823529413, 0.1875]","[0.12903225369406884, 0.22222221755829916, 0.23076922603550304]","[0.6666666666666666, 0.7777777777777778, 0.6666666666666666]","[0.2857142857142857, 0.4117647058823529, 0.375]","[0.3999999958, 0.5384615339349113, 0.47999999539200017]","[0.2613922281241263, 0.3837943989071038, 0.40364583333333337]","[9.788429383461836e-232, 9.788429383461836e-232, 9.005789782247613e-232]","[0.2023373901683665, 0.26748523107994004, 0.2673484981016103]",0.6616577967639025,0.8741594208301895,0.8877422599660589,0.013667400043725386,0.5918563602799912
853,1.3333333333333333,1.6666666666666667,2.0,-5.787657737731934,-4.317035675048828,"[0.6045321822166443, 0.5746893286705017, 0.6240662336349487]","[0.5882678627967834, 0.6311613917350769, 0.6460295915603638]","[0.5962891578674316, 0.6016030311584473, 0.6348580121994019]","[0.6923076923076923, 0.6153846153846154, 0.5384615384615384]","[0.42857142857142855, 0.47058823529411764, 0.4375]","[0.5294117599826991, 0.5333333284222223, 0.4827586157431629]","[0.21428571428571427, 0.21428571428571427, 0.14285714285714285]","[0.14285714285714285, 0.17647058823529413, 0.125]","[0.17142856662857156, 0.19354838214360054, 0.13333332835555575]","[0.6153846153846154, 0.6153846153846154, 0.46153846153846156]","[0.38095238095238093, 0.47058823529411764, 0.375]","[0.4705882305709343, 0.5333333284222223, 0.4137930985017836]","[0.396620425029516, 0.40780141843971635, 0.35265363128491617]","[1.0669733992029681e-231, 1.0669733992029681e-231, 8.972141065609098e-232]","[0.28865872442633866, 0.32089341478051037, 0.3262276592008784]",0.2561063324681942,0.6300274541219331,0.3616549488503592,0.008107118229413061,0.33326317373390174
855,1.0,1.6666666666666667,1.6666666666666667,-3.980430603027344,-4.199166297912598,"[0.45623111724853516, 0.4894143342971802, 0.468750923871994]","[0.5255917310714722, 0.5641806125640869, 0.5748171210289001]","[0.488461434841156, 0.5241446495056152, 0.5163938403129578]","[0.4, 0.5, 0.4]","[0.42105263157894735, 0.45454545454545453, 0.36363636363636365]","[0.4102564052596976, 0.47619047120181407, 0.3809523759637189]","[0.0967741935483871, 0.0, 0.0]","[0.14285714285714285, 0.0, 0.0]","[0.11538461056952683, 0.0, 0.0]","[0.3, 0.35, 0.25]","[0.3157894736842105, 0.3181818181818182, 0.22727272727272727]","[0.30769230269559505, 0.3333333283446712, 0.23809523310657604]","[0.2943124613618298, 0.2562600222030344, 0.2562600222030344]","[6.784338172413661e-232, 6.784338172413661e-232, 6.784338172413661e-232]","[0.08733330818292984, 0.10104115097743382, 0.06605092629441756]",0.4596637652777391,0.02540804146115015,0.7257915247812857,0.10598703158414212,0.28572886594219266
856,2.333333333333333,2.0,1.0,-4.502793788909912,-4.583950519561768,"[0.5422770977020264, 0.5183340311050415, 0.5269157290458679]","[0.4733302593231201, 0.46037858724594116, 0.4974091947078705]","[0.5054633617401123, 0.487640380859375, 0.5117375254631042]","[0.4, 0.4, 0.4]","[0.21052631578947367, 0.18181818181818182, 0.18181818181818182]","[0.27586206444708683, 0.2499999957031251, 0.2499999957031251]","[0.25, 0.0, 0.0]","[0.14285714285714285, 0.0, 0.0]","[0.18181817719008275, 0.0, 0.0]","[0.4, 0.3, 0.3]","[0.21052631578947367, 0.13636363636363635, 0.13636363636363635]","[0.27586206444708683, 0.1874999957031251, 0.1874999957031251]","[0.2467452498240676, 0.1077586206896552, 0.1293103448275862]","[9.109159947227211e-232, 9.109159947227211e-232, 9.109159947227211e-232]","[0.004265840343987581, -0.06842429625837498, -0.04486342740953164]",0.1238864067739675,0.004533832244038363,0.009695602735039565,0.0012856299410935815,0.005171688306723837
857,3.0,3.0,1.6666666666666667,-3.301132917404175,-3.134499311447144,"[0.6270514130592346, 0.6734379529953003, 0.6202749013900757]","[0.5948631167411804, 0.6456969976425171, 0.6299894452095032]","[0.6105332970619202, 0.6592757701873779, 0.6250944137573242]","[0.8666666666666667, 0.8, 0.8]","[0.6842105263157895, 0.5454545454545454, 0.5454545454545454]","[0.7647058774221455, 0.6486486438276114, 0.6486486438276114]","[0.47058823529411764, 0.23529411764705882, 0.23529411764705882]","[0.38095238095238093, 0.18181818181818182, 0.18181818181818182]","[0.421052626634349, 0.20512820021038802, 0.20512820021038802]","[0.6, 0.6, 0.6]","[0.47368421052631576, 0.4090909090909091, 0.4090909090909091]","[0.5294117597750866, 0.48648648166544933, 0.48648648166544933]","[0.5414312617702448, 0.4594574265369571, 0.485126253891387]","[8.614911585158347e-232, 1.0244914152188952e-231, 1.0244914152188952e-231]","[0.42354509756213143, 0.34737672857285185, 0.3404113726038245]",0.3550274927668418,0.5981797076052149,0.6005260353461682,0.005150547857706407,0.40128543026969643
858,2.5,2.5,1.0,-5.129651069641113,-4.1591477394104,"[0.5328168869018555, 0.5310927629470825, 0.5262265205383301]","[0.5078417658805847, 0.4961785674095154, 0.5205117464065552]","[0.520029604434967, 0.5130423903465271, 0.5233535766601562]","[0.38461538461538464, 0.46153846153846156, 0.46153846153846156]","[0.2631578947368421, 0.2727272727272727, 0.2727272727272727]","[0.3124999951757813, 0.3428571381877551, 0.3428571381877551]","[0.14285714285714285, 0.0, 0.0]","[0.09523809523809523, 0.0, 0.0]","[0.11428570948571448, 0.0, 0.0]","[0.3076923076923077, 0.3076923076923077, 0.38461538461538464]","[0.21052631578947367, 0.18181818181818182, 0.22727272727272727]","[0.2499999951757813, 0.22857142390204094, 0.285714281044898]","[0.20672061928219568, 0.15086206896551727, 0.17241379310344826]","[1.0832677820940877e-231, 1.0832677820940877e-231, 1.0832677820940877e-231]","[0.03636487968537361, -0.020932579680011054, -0.02528461650339131]",0.0327174496631294,0.12093917751781902,0.13334556236066322,0.4268606386732381,0.2270484595172401
859,1.6666666666666667,1.6666666666666667,1.6666666666666667,-4.671601295471191,-5.429754257202148,"[0.5544160604476929, 0.5972447395324707, 0.6095156669616699]","[0.5677404403686523, 0.6113083362579346, 0.6524670124053955]","[0.5609991550445557, 0.604194700717926, 0.6302604079246521]","[0.45, 0.6, 0.6]","[0.47368421052631576, 0.5454545454545454, 0.5454545454545454]","[0.46153845654174885, 0.5714285664399092, 0.5714285664399092]","[0.15, 0.2, 0.2]","[0.14285714285714285, 0.18181818181818182, 0.18181818181818182]","[0.14634145841760873, 0.1904761854875285, 0.1904761854875285]","[0.25, 0.35, 0.35]","[0.2631578947368421, 0.3181818181818182, 0.3181818181818182]","[0.2564102514135438, 0.3333333283446712, 0.3333333283446712]","[0.37328981179248555, 0.4825717269156182, 0.5100968959012177]","[1.0003688322288243e-231, 1.1070900996592687e-231, 1.1070900996592687e-231]","[0.19512297476929952, 0.24362154980510609, 0.22158965616872994]",0.3375725270346735,0.7027994076958118,0.7392368454737778,0.040632052847402476,0.49422276867233067
860,3.0,3.0,1.0,-4.000531196594238,-3.6881377696990967,"[0.737101137638092, 0.7460190057754517, 0.7279325723648071]","[0.49234187602996826, 0.49225592613220215, 0.5093851089477539]","[0.5903580188751221, 0.5931352376937866, 0.5993578433990479]","[0.8333333333333334, 1.0, 1.0]","[0.2631578947368421, 0.2727272727272727, 0.2727272727272727]","[0.399999996352, 0.42857142520408165, 0.42857142520408165]","[0.2, 0.0, 0.0]","[0.047619047619047616, 0.0, 0.0]","[0.07692307381656818, 0.0, 0.0]","[0.3333333333333333, 0.5, 0.5]","[0.10526315789473684, 0.13636363636363635, 0.13636363636363635]","[0.15999999635200007, 0.21428571091836737, 0.21428571091836737]","[0.1912057797708022, 0.15695067264573992, 0.15695067264573992]","[1.1200407237786664e-231, 1.1200407237786664e-231, 1.1200407237786664e-231]","[-0.0011229275899911073, -0.0015911833150401566, 0.01774456510924327]",0.4140723992676159,0.32326137765113044,0.3538691285476732,0.9337614538880816,0.5369639866956284
861,1.3333333333333333,1.0,2.333333333333333,-2.5563108921051025,-4.199848175048828,"[0.569953203201294, 0.6006200313568115, 0.5840112566947937]","[0.5720604658126831, 0.6022865772247314, 0.6200435161590576]","[0.5710048675537109, 0.6014521718025208, 0.6014882326126099]","[0.8461538461538461, 0.7692307692307693, 0.7692307692307693]","[0.5789473684210527, 0.45454545454545453, 0.45454545454545453]","[0.6874999951757813, 0.5714285667591837, 0.5714285667591837]","[0.6153846153846154, 0.23076923076923078, 0.23076923076923078]","[0.38095238095238093, 0.13636363636363635, 0.13636363636363635]","[0.4705882305709343, 0.17142856675918378, 0.17142856675918378]","[0.6923076923076923, 0.6153846153846154, 0.6153846153846154]","[0.47368421052631576, 0.36363636363636365, 0.36363636363636365]","[0.5624999951757813, 0.4571428524734695, 0.4571428524734695]","[0.4693288686235394, 0.35711206896551734, 0.38294385864918773]","[0, 0, 0]","[0.2767756342063764, 0.24895683590241513, 0.2508919780537462]",0.4014981980220057,0.8286166842472211,0.8511288271878643,0.002075402249082315,0.5606069712280559
862,3.0,2.6666666666666665,3.0,-3.2196204662323,-2.848743438720703,"[0.6692261695861816, 0.7285884618759155, 0.6800249814987183]","[0.6469693183898926, 0.7052197456359863, 0.6870613694190979]","[0.6579095721244812, 0.7167136669158936, 0.683525025844574]","[0.631578947368421, 0.7368421052631579, 0.7894736842105263]","[0.631578947368421, 0.6363636363636364, 0.6818181818181818]","[0.6315789423684212, 0.6829268242950625, 0.7317073120999406]","[0.2857142857142857, 0.23809523809523808, 0.2857142857142857]","[0.2857142857142857, 0.22727272727272727, 0.2727272727272727]","[0.2857142807142858, 0.232558134537588, 0.27906976244456466]","[0.5263157894736842, 0.5263157894736842, 0.5789473684210527]","[0.5263157894736842, 0.45454545454545453, 0.5]","[0.5263157844736842, 0.48780487307555026, 0.5365853608804284]","[0.5289115646258503, 0.5260416666666666, 0.5260416666666666]","[8.231055179516831e-232, 9.788429383461836e-232, 9.788429383461836e-232]","[0.44089396235725964, 0.39352491980037885, 0.4407316497037974]",0.7824597116578345,0.9573998665987453,0.6797560579122859,0.8336939248482425,0.8236166164530913
864,1.5,1.0,1.5,-3.387110710144043,-3.9940690994262695,"[0.524930477142334, 0.4963565766811371, 0.47900205850601196]","[0.5646356344223022, 0.5724446773529053, 0.5441224575042725]","[0.5440596342086792, 0.5316922664642334, 0.5094898343086243]","[0.55, 0.45, 0.5]","[0.5238095238095238, 0.5294117647058824, 0.5555555555555556]","[0.536585360856633, 0.4864864815193572, 0.5263157844875347]","[0.25, 0.15625, 0.1875]","[0.32, 0.25, 0.2857142857142857]","[0.2807017494613728, 0.1923076875739646, 0.2264150895550019]","[0.5, 0.3, 0.4]","[0.47619047619047616, 0.35294117647058826, 0.4444444444444444]","[0.4878048730517549, 0.3243243193571951, 0.42105262659279785]","[0.26143790849673204, 0.3410813111962538, 0.3297119341563786]","[6.720628411503338e-232, 6.720628411503338e-232, 6.720628411503338e-232]","[0.17037979019791205, 0.09603019137548519, 0.1197060895095069]",0.2885269949377243,0.04454802008218072,0.5175595435770483,0.31109731004228397,0.29106829123383765
865,2.0,2.0,1.0,-4.516940593719482,-4.944980144500732,"[0.6019071936607361, 0.565036416053772, 0.5355990529060364]","[0.5015180110931396, 0.47929447889328003, 0.46360188722610474]","[0.5471459031105042, 0.5186456441879272, 0.4970065951347351]","[0.5, 0.4, 0.5]","[0.23809523809523808, 0.23529411764705882, 0.2777777777777778]","[0.32258064079084287, 0.2962962916323732, 0.35714285255102046]","[0.25, 0.25, 0.16666666666666666]","[0.12, 0.15, 0.09523809523809523]","[0.16216215777940113, 0.1874999953125001, 0.12121211658402223]","[0.5, 0.4, 0.4]","[0.23809523809523808, 0.23529411764705882, 0.2222222222222222]","[0.32258064079084287, 0.2962962916323732, 0.285714281122449]","[0.19851912313432835, 0.2830717488789238, 0.251702852277565]","[9.109159947227211e-232, 9.109159947227211e-232, 9.109159947227211e-232]","[0.02822289741316031, -0.004942639056848108, 0.03129128162755723]",0.1361538131632717,0.0034360475767001683,0.007698098248578872,0.0012856299410935815,0.0041399252554575406
866,3.0,3.0,2.5,-3.049485206604004,-2.9834952354431152,"[0.6724534034729004, 0.7160308361053467, 0.6399390697479248]","[0.6347275376319885, 0.6971460580825806, 0.6268877983093262]","[0.6530460715293884, 0.7064622640609741, 0.6333461999893188]","[0.8666666666666667, 0.8666666666666667, 0.8]","[0.6190476190476191, 0.7647058823529411, 0.6666666666666666]","[0.7222222173611111, 0.8124999950195313, 0.7272727223140496]","[0.4117647058823529, 0.47058823529411764, 0.35294117647058826]","[0.28, 0.4, 0.2857142857142857]","[0.3333333285147393, 0.43243242746530314, 0.3157894687396123]","[0.8, 0.6, 0.7333333333333333]","[0.5714285714285714, 0.5294117647058824, 0.6111111111111112]","[0.6666666618055556, 0.5624999950195313, 0.6666666617079889]","[0.4427287581699346, 0.5903255781938326, 0.5414312617702448]","[1.0244914152188952e-231, 8.614911585158347e-232, 8.614911585158347e-232]","[0.3893461863329617, 0.4648555765922696, 0.38355233748284456]",0.2995340543293814,0.7638923813941849,0.7408054014824084,0.016354466834768426,0.5070174165704538
867,2.0,2.0,1.0,-4.9917731285095215,-4.313769817352295,"[0.614589273929596, 0.5590065121650696, 0.5744312405586243]","[0.5224429965019226, 0.5190615653991699, 0.4994731545448303]","[0.5647823214530945, 0.5382940769195557, 0.5343361496925354]","[0.46153846153846156, 0.38461538461538464, 0.46153846153846156]","[0.2857142857142857, 0.29411764705882354, 0.3333333333333333]","[0.3529411717474049, 0.3333333284222223, 0.38709676932362125]","[0.21428571428571427, 0.14285714285714285, 0.14285714285714285]","[0.12, 0.1, 0.09523809523809523]","[0.1538461492439186, 0.11764705397923896, 0.11428570948571448]","[0.38461538461538464, 0.3076923076923077, 0.23076923076923078]","[0.23809523809523808, 0.23529411764705882, 0.16666666666666666]","[0.29411764233564014, 0.2666666617555556, 0.19354838222684714]","[0.21789202137460853, 0.2150636039169031, 0.17241379310344826]","[1.0832677820940877e-231, 1.0832677820940877e-231, 1.0832677820940877e-231]","[0.07249636064583886, 0.054705492155475044, 0.06599771949529676]",0.0300280951862487,0.1173702628031735,0.12504657047164022,0.4268616519927569,0.22309282842252354
868,1.3333333333333333,1.3333333333333333,1.3333333333333333,-4.365355968475342,-5.294909954071045,"[0.6205214262008667, 0.5974947214126587, 0.6148934364318848]","[0.6140685081481934, 0.6226826310157776, 0.6115438938140869]","[0.6172780990600586, 0.6098287105560303, 0.6132140755653381]","[0.6, 0.45, 0.5]","[0.5714285714285714, 0.5294117647058824, 0.5555555555555556]","[0.5853658486615111, 0.4864864815193572, 0.5263157844875347]","[0.2, 0.15, 0.2]","[0.16, 0.15, 0.19047619047619047]","[0.17777777283950633, 0.14999999500000016, 0.19512194622248677]","[0.4, 0.3, 0.45]","[0.38095238095238093, 0.35294117647058826, 0.5]","[0.3902438974419989, 0.3243243193571951, 0.47368420554016627]","[0.3870288991509012, 0.3879605904218846, 0.4295051353874883]","[1.1070900996592687e-231, 1.0003688322288243e-231, 1.0003688322288243e-231]","[0.21829930978627976, 0.22018674343623357, 0.264876129357288]",0.4659529522686308,0.7640013559703712,0.7763328053070929,0.053507449613993556,0.5312805369638193
869,3.0,3.0,2.333333333333333,-3.7619283199310303,-3.674216508865357,"[0.752027153968811, 0.7466928362846375, 0.7947162985801697]","[0.4890652298927307, 0.5007044076919556, 0.5103838443756104]","[0.5926880836486816, 0.5994440317153931, 0.6215773224830627]","[1.0, 0.8333333333333334, 1.0]","[0.2857142857142857, 0.29411764705882354, 0.3333333333333333]","[0.4444444409876544, 0.4347826048393196, 0.4999999962500001]","[0.6, 0.2, 1.0]","[0.12, 0.05, 0.23809523809523808]","[0.19999999722222223, 0.07999999680000014, 0.38461538150887575]","[0.6666666666666666, 0.5, 1.0]","[0.19047619047619047, 0.17647058823529413, 0.3333333333333333]","[0.2962962928395062, 0.26086956136105866, 0.4999999962500001]","[0.2450555511780001, 0.1992471443406023, 0.3134437631554864]","[1.1200407237786664e-231, 1.1200407237786664e-231, 1.1200407237786664e-231]","[0.05693652001690608, 0.007024205315617427, 0.13115108842897427]",0.4908459752230397,0.3276802528138418,0.3359448300822395,0.9337613346770601,0.5324621391910471
870,1.0,1.0,1.6666666666666667,-2.503102779388428,-4.154800891876221,"[0.6174861192703247, 0.6057502627372742, 0.5679788589477539]","[0.5986312627792358, 0.6166753768920898, 0.5578807592391968]","[0.607912540435791, 0.6111639738082886, 0.5628845691680908]","[0.7692307692307693, 0.8461538461538461, 0.7692307692307693]","[0.47619047619047616, 0.6470588235294118, 0.5555555555555556]","[0.5882352893944637, 0.7333333284222223, 0.6451612854526535]","[0.38461538461538464, 0.6153846153846154, 0.3076923076923077]","[0.2, 0.4, 0.19047619047619047]","[0.2631578902354571, 0.48484848007346204, 0.23529411292387553]","[0.7692307692307693, 0.6923076923076923, 0.6153846153846154]","[0.47619047619047616, 0.5294117647058824, 0.4444444444444444]","[0.5882352893944637, 0.5999999950888889, 0.5161290273881375]","[0.37714320957197484, 0.48827039246933257, 0.38448275862068976]","[0, 0, 0]","[0.2710553225232809, 0.33419647348899195, 0.2897932554747079]",0.417342675091579,0.8447037500660314,0.8577760592961208,0.002019967036725254,0.5681665921329592
871,2.5,2.5,1.5,-3.006108283996582,-3.045331716537476,"[0.8488468527793884, 0.7526583075523376, 0.784041166305542]","[0.8028810620307922, 0.7358465790748596, 0.7602376341819763]","[0.8252243995666504, 0.7441574931144714, 0.7719559073448181]","[0.9444444444444444, 0.6666666666666666, 0.8333333333333334]","[0.8095238095238095, 0.7058823529411765, 0.8333333333333334]","[0.8717948668244576, 0.6857142807183674, 0.8333333283333335]","[0.65, 0.3, 0.45]","[0.52, 0.3, 0.42857142857142855]","[0.5777777728395063, 0.2999999950000001, 0.43902438524687687]","[0.7777777777777778, 0.5555555555555556, 0.6666666666666666]","[0.6666666666666666, 0.5882352941176471, 0.6666666666666666]","[0.7179487129783038, 0.5714285664326532, 0.6666666616666668]","[0.754730983302412, 0.5817391304347826, 0.7370275501570488]","[9.893133360884868e-232, 8.319100378795605e-232, 8.319100378795605e-232]","[0.5648349597590592, 0.4776234198441174, 0.6599208013689281]",0.8551557125325391,0.9767175323391903,0.6793306369750088,0.924017864047637,0.8600220111206122
873,2.2,2.2,1.8,-5.588371753692627,-4.994544982910156,"[0.6828979849815369, 0.7645902633666992]","[0.6682322025299072, 0.7454381585121155]","[0.6754854321479797, 0.7548927664756775]","[0.5555555555555556, 0.5555555555555556]","[0.45454545454545453, 0.5]","[0.4999999950500001, 0.5263157844875347]","[0.1111111111111111, 0.4444444444444444]","[0.1, 0.36363636363636365]","[0.1052631529085875, 0.39999999505]","[0.3333333333333333, 0.5555555555555556]","[0.2727272727272727, 0.5]","[0.2999999950500001, 0.5263157844875347]","[0.35830999066293184, 0.5859375000000001]","[7.61581178815304e-232, 1.0003688322288243e-231]","[0.38745980250225764, 0.5243022262555286]",0.3495018000819324,0.6867807408888718,0.6968702352866845,0.09275779727271981,0.492136257816092
874,2.0,2.333333333333333,1.0,-5.927846908569336,-5.281494140625,"[0.530415415763855, 0.5792330503463745]","[0.4781892001628876, 0.5130929946899414]","[0.502950131893158, 0.5441606044769287]","[0.0, 0.2857142857142857]","[0.0, 0.2]","[0.0, 0.23529411280276827]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.2857142857142857]","[0.0, 0.2]","[0.0, 0.23529411280276827]","[0.0423728813559322, 0.15748031496062992]","[1.0244914152188952e-231, 1.0244914152188952e-231]","[-0.15905363999999866, -0.09042058545238363]",0.1559500945248096,0.4083925565286308,0.5463356702100656,0.7742406048222271,0.5763229438536411
875,3.0,3.0,2.5,-3.227652072906494,-2.9654417037963867,"[0.8473079800605774, 0.8026803731918335]","[0.7721355557441711, 0.7291232347488403]","[0.8079770803451538, 0.7641356587409973]","[0.75, 0.75]","[0.5454545454545454, 0.6]","[0.6315789424930748, 0.6666666617283951]","[0.42857142857142855, 0.5714285714285714]","[0.3, 0.36363636363636365]","[0.3529411716262976, 0.44444443969135805]","[0.625, 0.75]","[0.45454545454545453, 0.6]","[0.5263157845983379, 0.6666666617283951]","[0.5424733996162567, 0.5490767735665695]","[1.0518351895246305e-231, 1.0518351895246305e-231]","[0.46268107532888925, 0.4428844581501167]",0.916370021455323,0.9604725812696747,0.9601407154243555,0.6934803572512157,0.871364551315082
