id,src,sys,refs,ref,informativeness,naturalness,quality
736,"inform(name='da flora a venetian osteria',price_range=cheap,good_for_meal=dinner)",Da flora a venetian osteria is a cheap restaurant that is good for dinner .,"['I have found da flora a venetian osteria , where the price range is cheap , and they serve dinner .']","I have found da flora a venetian osteria , where the price range is cheap , and they serve dinner .",4.0,2.0,2.0
737,"inform(name='darbar restaurant',area='hayes valley or lower nob hill',address='1412 polk street',phone='4153591236')",Darbar restaurant is in the hayes valley or lower nob hill park area . Its address is 1412 polk street and its phone number is 4153591236 .,['Darbar restaurant is located in hayes valley and lower nob hill . The address is 1412 polk street and the phone number is 4153591236 .'],Darbar restaurant is located in hayes valley and lower nob hill . The address is 1412 polk street and the phone number is 4153591236 .,6.0,6.0,6.0
738,"inform(name='darbar restaurant',area='hayes valley or lower nob hill',phone='4153591236')",Darbar restaurant is located in hayes valley or lower nob hill mews . The phone number is 4153591236 .,['The darbar restaurant is located in hayes valley or lower nob hill their phone number is 4153591236'],The darbar restaurant is located in hayes valley or lower nob hill their phone number is 4153591236,6.0,5.0,4.0
739,"inform(name='darbar restaurant',food=indpak,good_for_meal=lunch)",Darbar restaurant serves indpak and is good for lunch .,['The darbar restaurant serves indpak food and is good for lunch'],The darbar restaurant serves indpak food and is good for lunch,5.0,4.0,4.0
740,"inform(name='darbar restaurant',kids_allowed=yes)",Darbar restaurant is a nice restaurant that allows children .,"['Child -s are allowed at the darbar restaurant', 'Yes darbar restaurant allows kid -s']",Child -s are allowed at the darbar restaurant,6.0,6.0,4.0
741,"inform(name='darbar restaurant',kids_allowed=yes,food=pakistani,good_for_meal=lunch)",Darbar restaurant serves pakistani food for lunch and allows kids .,['Darbar restaurant serves good pakistani food for lunch that allows child -s .'],Darbar restaurant serves good pakistani food for lunch that allows child -s .,5.0,6.0,5.0
742,"inform(name='darbar restaurant',price_range=cheap)",Darbar restaurant is in the cheap price range .,"['I would suggest darbar restaurant . The food is cheap .', 'Darbar restaurant is in your cheap price range .', 'Darbar restaurant is pretty cheap', 'Darbar restaurant is in the cheap price range', 'The darbar restaurant is cheap .']",I would suggest darbar restaurant . The food is cheap .,5.0,5.0,5.0
743,"inform(name='darbar restaurant',price_range=cheap,near='nob hill')",Darbar restaurant is a cheap restaurant near nob hill .,"['Darbar restaurant has a cheap price range and is near nob hill .', 'Darbar restaurant offers cheap price -s near nob hill', 'Darbar restaurant is near nob hill and is cheap']",Darbar restaurant has a cheap price range and is near nob hill .,6.0,6.0,5.0
744,"inform(name='delancey street restaurant',good_for_meal=brunch)",Delancey street restaurant is a good restaurant for brunch .,"['The delancey street restaurant serves a wonderful brunch .', 'Delancey street restaurant serves brunch .', 'The delancey street restaurant is a nice restaurant good for brunch .', 'Delancey street restaurant is a good restaurant for brunch .']",The delancey street restaurant serves a wonderful brunch .,6.0,5.0,6.0
745,"inform(name='dong baek restaurant',near=tenderloin)",Dong baek restaurant is near tenderloin .,"['Dong baek restaurant is near tenderloin .', 'Dong baek restaurant is near tenderloin']",Dong baek restaurant is near tenderloin .,5.0,6.0,3.0
746,"inform(name='dong baek restaurant',price_range=moderate,good_for_meal=dinner)",Dong baek restaurant is an moderate restaurant that is good for dinner .,"['Dong baek restaurant is moderate -ly priced and good for dinner', 'Dong baek restaurant is moderate -ly priced and good for dinner .']",Dong baek restaurant is moderate -ly priced and good for dinner,6.0,4.0,4.0
747,"inform(name='dong baek restaurant',price_range=moderate,good_for_meal=dinner)",Dong baek restaurant is in the moderate price range and is good for dinner .,"['Dong baek restaurant is moderate -ly priced and good for dinner', 'Dong baek restaurant is moderate -ly priced and good for dinner .']",Dong baek restaurant is moderate -ly priced and good for dinner,5.0,5.0,4.0
748,"inform(name='dosa on fillmore',price_range=expensive,near='lower pacific heights')",Dosa on fillmore is a expensive restaurant near lower pacific heights .,"['Dosa on fillmore is an expensive restaurant near lower pacific heights', 'Dosa on fillmore is an expensive restaurant -s near lower pacific heights']",Dosa on fillmore is an expensive restaurant near lower pacific heights,6.0,5.0,5.0
749,"inform(name='dosa on valencia',food=indian)",Dosa on valencia serves indian food .,"['Dosa on valencia serves indian food in the fenditton area .', 'Dosa on valencia restaurant serves indian food .']",Dosa on valencia serves indian food in the fenditton area .,5.0,5.0,4.0
750,"inform(name='dosa on valencia',near=mission,phone='4156423672')",Dosa on valencia is near mission and the phone number is 4156423672 .,"['Dosa on valencia is near mission , phone number is 4156423672']","Dosa on valencia is near mission , phone number is 4156423672",6.0,5.0,5.0
751,"inform(name='dosa on valencia',price_range=moderate,food='gluten free')",Dosa on valencia is a moderate gluten free restaurant .,['You can go to dosa on valencia also providing gluten free food but with moderate price -s'],You can go to dosa on valencia also providing gluten free food but with moderate price -s,4.0,4.0,4.0
752,"inform(name='dosa on valencia',type=restaurant)",Dosa on valencia is a nice restaurant .,"['The dosa on valencia restaurant', 'The restaurant is called dosa on valencia .']",The dosa on valencia restaurant,6.0,6.0,6.0
753,"inform(name=eiji,address='317 sanchez street',phone='4155588149')",The address of eiji is 317 sanchez street and the phone number is 4155588149 .,"[""Eiji 's address is 317 sanchez street and the phone number is 4155588149 .""]",Eiji 's address is 317 sanchez street and the phone number is 4155588149 .,6.0,5.0,5.0
754,"inform(name=eiji,area=mastro,good_for_meal=dinner)",Eiji is in mastro and is a good place for dinner .,['Eiji is located in mastro and is good for dinner .'],Eiji is located in mastro and is good for dinner .,3.0,3.0,3.0
755,"inform(name=eiji,area=mastro,kids_allowed=no,good_for_meal=dinner)",Eiji is a good restaurant for dinner in the mastro and does not allow kids .,"['Eiji is a nice restaurant in the mastro area that allows child -s and is good for dinner .', 'Eiji is in the mastro area , does not allow kid -s , and is good for dinner .']",Eiji is a nice restaurant in the mastro area that allows child -s and is good for dinner .,6.0,6.0,6.0
756,"inform(name=eiji,kids_allowed=no,price_range=cheap)",Eiji is an cheap restaurant that does not allow children .,"['Eiji is cheap and does not allow child -s', 'Eiji is a cheap -ly priced restaurant which does not allow child -s .']",Eiji is cheap and does not allow child -s,3.0,4.0,4.0
757,"inform(name=eiji,phone='4155588149')",The phone number for eiji is 4155588149 .,"['The phone number of eiji is 4155588149 .', 'The phone number for eiji is 4155588149 .', 'The phone number for eiji is 4155588149']",The phone number of eiji is 4155588149 .,6.0,6.0,5.0
758,"inform(name='enjoy vegetarian restaurant',address='839 kearny street',phone='4159567868',postcode='94108 or 94122')",The address for enjoy vegetarian restaurant is 839 kearny street . The postcode is 94108 or 94122. the phone number is 4159567868 .,"['Enjoy vegetarian restaurant is located at 839 kearny street 94108 or 94122. phone number is 4159567868 .', 'Enjoy vegetarian restaurant is located at 839 kearny street their phone number is 4159567868. the postcode is 94108 or 94122 .']",Enjoy vegetarian restaurant is located at 839 kearny street 94108 or 94122. phone number is 4159567868 .,6.0,6.0,4.0
759,"inform(name='enjoy vegetarian restaurant',food=chinese,near=chinatown,good_for_meal=dinner,kids_allowed=yes)","Enjoy vegetarian restaurant is near chinatown and allows kids , it is chinese and it is good for dinner .","['Enjoy vegetarian restaurant serves chinese food and is near chinatown and also provides dinner in which kid -s are allowed .', 'Enjoy vegetarian restaurant is near chinatown and allows kid -s. it is good for dinner and serves chinese food', 'Enjoy vegetarian restaurant serves chinese food for dinner and allows kid -s. it is near to chinatown .']",Enjoy vegetarian restaurant serves chinese food and is near chinatown and also provides dinner in which kid -s are allowed .,5.0,4.0,4.0
760,"inform(name='enjoy vegetarian restaurant',kids_allowed=yes)",Enjoy vegetarian restaurant is a nice restaurant that allows children .,"['Enjoy vegetarian restaurant allows kid -s', 'Enjoy vegetarian restaurant is a vegetarian restaurant that allows child -s .', 'Enjoy vegetarian restaurant allows kid -s .']",Enjoy vegetarian restaurant allows kid -s,5.0,5.0,5.0
761,"inform(name='espetus churrascaria',address='1686 market street')",The address for espetus churrascaria is 1686 market street .,"['The address for espetus churrascaria is 1686 market street', 'Espetus churrascaria is located at 1686 market street', 'The address of espetus churrascaria is 1686 market street', 'The address for espetus churrascaria is 1686 market street .', 'The address of espetus churrascaria is 1686 market street .']",The address for espetus churrascaria is 1686 market street,6.0,6.0,6.0
762,"inform(name='espetus churrascaria',area='hayes valley')",Espetus churrascaria is in the area of hayes valley .,"['Espetus churrascaria is in the hayes valley area .', 'The restaurant espetus churrascaria is in hayes valley .']",Espetus churrascaria is in the hayes valley area .,6.0,6.0,6.0
763,"inform(name='espetus churrascaria',food=brazilian,good_for_meal=dinner)",Espetus churrascaria serves brazilian and is good for dinner .,"['Yes , espetus churrascaria serves brazilian food for dinner .', 'Espetus churrascaria serves good brazilian food for dinner .']","Yes , espetus churrascaria serves brazilian food for dinner .",4.0,3.0,4.0
764,"inform(name='espetus churrascaria',phone='4155528792')",The phone number for espetus churrascaria is 4155528792 .,"['The phone number to espetus churrascaria is 4155528792', 'The phone number for espetus churrascaria is 4155528792 .']",The phone number to espetus churrascaria is 4155528792,6.0,6.0,4.0
765,"inform(name='fifth floor',address='hotel palomar 12 fourth street')",The address for fifth floor is hotel palomar 12 fourth street .,"['The address of fifth floor is hotel palomar 12 fourth street .', 'The address for fifth floor is hotel palomar 12 fourth street .', 'The fifth floor is located at hotel palomar 12 fourth street', 'Fifth floor is located in hotel palomar 12 fourth street', 'The fifth floor restaurant is located at hotel palomar 12 fourth street .']",The address of fifth floor is hotel palomar 12 fourth street .,6.0,5.0,3.0
766,"inform(name='fifth floor',food=lounge,good_for_meal=dinner)",Fifth floor serves lounge and is good for dinner .,"['I have found the fifth floor . This restaurant is good for dinner and include lounge .', 'Fifth floor is good for dinner and lounge .']",I have found the fifth floor . This restaurant is good for dinner and include lounge .,3.0,1.0,1.0
767,"inform(name='fifth floor',food=lounge,price_range=expensive)",Fifth floor is a expensive lounge restaurant .,"['The fifth floor is a lounge that serves expensive food .', 'Fifth floor is an expensive lounge']",The fifth floor is a lounge that serves expensive food .,6.0,6.0,5.0
768,"inform(name='fifth floor',kids_allowed=no)",Fifth floor is a nice restaurant that does not allow children .,"['There are no child -s allowed in fifth floor .', 'Fifth floor does not allow child -s']",There are no child -s allowed in fifth floor .,6.0,6.0,6.0
769,"inform(name='fifth floor',near='financial district or union square')",Fifth floor is near financial district or union square .,"['The fifth floor is near the financial district or union square .', 'Fifth floor is near financial district or union square .', 'Fifth floor is near the financial district or union square', 'Fifth floor is near financial district and union square .']",The fifth floor is near the financial district or union square .,4.0,3.0,5.0
770,"inform(name='fifth floor',phone='4153481555')",The phone number for fifth floor is 4153481555 .,"['The phone number for fifth floor is 4153481555 .', 'The phone number to fifth floor is 4153481555', 'Fifth floor phone number is 4153481555', 'The phone number for fifth floor is 4153481555', 'The phone number of fifth floor is 4153481555']",The phone number for fifth floor is 4153481555 .,4.0,3.0,5.0
771,"inform(name='fifth floor',price='between 29 and 58 euro')",The price of fifth floor is between 29 and 58 euro .,['The price of fifth floor is between 29 and 58 euro .'],The price of fifth floor is between 29 and 58 euro .,4.0,4.0,3.0
772,"inform(name='fifth floor',type=restaurant)",Fifth floor is a nice restaurant .,"['The fifth floor is the name of the restaurant .', 'Fifth floor is a nice restaurant .']",The fifth floor is the name of the restaurant .,5.0,5.0,5.0
773,"inform(name=firefly,kids_allowed=no)",Firefly is a nice restaurant that does not allow children .,"['Firefly does not allow kid -s .', 'Firefly is a nice restaurant that does not allow child -s', 'Firefly is a nice restaurant that does not allow child -s .']",Firefly does not allow kid -s .,6.0,6.0,6.0
774,"inform(name='forbes island',address='pier 41')",The address for forbes island is pier 41 .,['Forbes island restaurant is located at pier 41 .'],Forbes island restaurant is located at pier 41 .,6.0,6.0,5.0
775,"inform(name='forbes island',area='hayes valley',kids_allowed=no)",Forbes island is in the area of hayes valley and it does not allow children .,['Forbes island is a nice restaurant in the hayes valley area no kid -s are allowed .'],Forbes island is a nice restaurant in the hayes valley area no kid -s are allowed .,5.0,6.0,6.0
776,"inform(name='forbes island',price='between 30 and 58 euro')",The price of forbes island is between 30 and 58 euro .,['Forbes island restaurant cost between 30 and 58 euro .'],Forbes island restaurant cost between 30 and 58 euro .,5.0,5.0,5.0
777,"inform(name='foreign cinema',kids_allowed=no)",Foreign cinema is a nice restaurant that does not allow children .,['Foreign cinema does not allow kid -s'],Foreign cinema does not allow kid -s,6.0,2.0,4.0
778,"inform(name=frances,area='hayes valley')",Frances is a nice restaurant in the area of hayes valley .,['Frances is a nice restaurant in the hayes valley area'],Frances is a nice restaurant in the hayes valley area,6.0,6.0,6.0
779,"inform(name=frances,price_range=moderate,kids_allowed=no)",Frances is an moderate restaurant that does not allow children .,"['Frances is moderate -ly price -s and does not allow kid -s', 'Frances is a moderate -ly priced restaurant that does not allow kid -s .']",Frances is moderate -ly price -s and does not allow kid -s,6.0,4.0,4.0
780,"inform(name=franchino,address='347 columbus avenue',price='22 euro')","The address of franchino is 347 columbus avenue , and the price is 22 euro .",['Franchino is located at 347 columbus avenue and costs around 22 euro .'],Franchino is located at 347 columbus avenue and costs around 22 euro .,6.0,6.0,4.0
781,"inform(name=franchino,kids_allowed=no)",Franchino is a nice restaurant that does not allow children .,"['No child -s are allowed at franchino restaurant .', 'Franchino does not allow child -s .']",No child -s are allowed at franchino restaurant .,6.0,6.0,6.0
782,"inform(name=franchino,price_range=moderate)",Franchino is in the moderate price range .,"['Franchino is a moderate -ly priced restaurant', 'Franchino is a moderate priced restaurant .', 'The restaurant franchino is moderate -ly priced .']",Franchino is a moderate -ly priced restaurant,5.0,5.0,5.0
783,"inform(name='franciscan crab restaurant',address='pier 43 fishermans wharf',phone='4153627733')",The address of franciscan crab restaurant is pier 43 fishermans wharf and the phone number is 4153627733 .,['The address for franciscan crab restaurant is pier 43 fishermans wharf . The phone number is 4153627733 .'],The address for franciscan crab restaurant is pier 43 fishermans wharf . The phone number is 4153627733 .,6.0,6.0,6.0
784,"inform(name='franciscan crab restaurant',area='hayes valley or fishermans wharf',address='pier 43 fishermans wharf')","The address for franciscan crab restaurant is pier 43 fishermans wharf , hayes valley or fishermans wharf .","['Franciscan crab restaurant is in the hayes valley or fishermans wharf area located at pier 43 fishermans wharf .', 'Franciscan crab restaurant is in the hayes valley or fishermans wharf area , the address is pier 43 fishermans wharf .']",Franciscan crab restaurant is in the hayes valley or fishermans wharf area located at pier 43 fishermans wharf .,5.0,5.0,5.0
785,"inform(name='franciscan crab restaurant',price='between 29 and 44 euro',phone='4153627733')",The name of the restaurant is franciscan crab restaurant . The price is between 29 and 44 euro . Their phone number is 4153627733 .,"['In franciscan crab restaurant price -s range between between 29 and 44 euro and the phone number is 4153627733', 'Franciscan crab restaurant costs between 29 and 44 euro and the phone number is 4153627733 .', 'The franciscan crab restaurant price range is between 29 and 44 euro and their phone number is 4153627733']",In franciscan crab restaurant price -s range between between 29 and 44 euro and the phone number is 4153627733,6.0,6.0,6.0
786,"inform(name='franciscan crab restaurant',price_range=expensive,kids_allowed=yes)",Franciscan crab restaurant is expensive and allows children .,"['Franciscan crab restaurant is in the expensive price range and allows child -s .', 'The franciscan crab restaurant is in the expensive price range that allows child -s .', 'Franciscan crab restaurant is an expensive restaurant that allows kid -s .', 'Franciscan crab restaurant is an expensive restaurant that allows child -s .', 'Franciscan crab restaurant is expensive and allows child -s .']",Franciscan crab restaurant is in the expensive price range and allows child -s .,5.0,4.0,3.0
787,"inform(name='franciscan crab restaurant',price_range=expensive,kids_allowed=yes,good_for_meal=dinner)",The franciscan crab restaurant is expensive and allows children and is good for dinner .,"['There is a nice restaurant named franciscan crab restaurant , it is expensive , child friendly , and it specialized in dinner .', 'Franciscan crab restaurant has expensive price -s range and it allows kid -s and it is good for dinner']","There is a nice restaurant named franciscan crab restaurant , it is expensive , child friendly , and it specialized in dinner .",6.0,3.0,5.0
788,"inform(name='fresca',area='hayes valley or pacific heights',price='between 15 and 26 euro',phone='4154472668')",The name of hayes valley or pacific heights number is fresca and the price is between 15 and 26 euro . Their phone number is 4154472668 .,"['Fresca is in hayes valley or pacific heights , with price -s between 15 and 26 euro . Their phone number is 4154472668']","Fresca is in hayes valley or pacific heights , with price -s between 15 and 26 euro . Their phone number is 4154472668",6.0,4.0,4.0
789,"inform(name='fresca',area='pacific heights or hayes valley',address='2114 fillmore street')",Fresca is in the pacific heights or hayes valley hill area and the address is 2114 fillmore street .,['Fresca is in the pacific heights or hayes valley area . The address is 2114 fillmore street .'],Fresca is in the pacific heights or hayes valley area . The address is 2114 fillmore street .,6.0,6.0,5.0
790,"inform(name=fresca,food=peruvian,area='pacific heights',kids_allowed=no)",Fresca is a nice restaurant that serves peruvian in pacific heights that does not allow children .,['There is a nice restaurant named fresca that serves peruvian food near the pacific heights area that does not allow kid -s .'],There is a nice restaurant named fresca that serves peruvian food near the pacific heights area that does not allow kid -s .,5.0,4.0,4.0
791,"inform(name=fresca,food=peruvian,good_for_meal=dinner)",Fresca is a nice restaurant that is good for dinner and serves peruvian .,['Fresca is a good restaurant for dinner that serves peruvian food'],Fresca is a good restaurant for dinner that serves peruvian food,5.0,4.0,5.0
792,"inform(name='fresca',food='peruvian or tapas')",Fresca serves peruvian or tapas food .,"['The food served at fresca is peruvian or tapas .', 'Fresca serves peruvian or tapas .']",The food served at fresca is peruvian or tapas .,5.0,4.0,4.0
793,"inform(name=fresca,good_for_meal=dinner)",Fresca is a good restaurant for dinner .,['Fresca is good for dinner'],Fresca is good for dinner,3.0,4.0,3.0
794,"inform(name=fresca,kids_allowed=no,price_range=moderate,near='pacific heights')",Fresca is an moderate restaurant that does not allow kids and is near pacific heights .,"['The restaurant I recommend is fresca . It is moderate -ly priced , does not allow kid -s , and is near pacific heights .', 'Fresca restaurant does not allow child -s and is in the moderate price range and is near pacific heights .']","The restaurant I recommend is fresca . It is moderate -ly priced , does not allow kid -s , and is near pacific heights .",4.0,3.0,3.0
795,"inform(name=fresca,phone='4154472668')",The phone number for fresca is 4154472668 .,"['The phone number for fresca is 4154472668 .', 'The phone number for fresca is 4154472668', ""Fresca 's phone number is 4154472668"", 'The name is fresca , the phone number is 4154472668']",The phone number for fresca is 4154472668 .,5.0,5.0,5.0
796,"inform(name=fresca,price_range=moderate,kids_allowed=no,food=tapas)",Fresca is a nice restaurant that serves tapas food in the moderate price range and it does not allow children .,"['Fresca serves tapas , is moderate -ly priced and does not allow child -s']","Fresca serves tapas , is moderate -ly priced and does not allow child -s",6.0,6.0,5.0
797,"inform(name=fresca,type=restaurant)",Fresca is a nice restaurant .,"['The name of the restaurant is fresca .', 'Fresca is a nice restaurant .', 'Fresca is a nice restaurant', 'The restaurant is called fresca .']",The name of the restaurant is fresca .,3.0,6.0,6.0
798,"inform(name=fringale,address='570 fourth street',phone='4155430573')",The address of fringale is 570 fourth street and the phone number is 4155430573 .,"['Fringale is located at 570 fourth street , the phone number is 4155430573 .', 'The address for fringale is 570 fourth street . The telephone there is 4155430573']","Fringale is located at 570 fourth street , the phone number is 4155430573 .",6.0,5.0,3.0
799,"inform(name=fringale,food=french)",Fringale serves french food .,"['Fringale serves french food .', 'The fringale is french .']",Fringale serves french food .,4.0,3.0,4.0
800,"inform(name=fringale,kids_allowed=no,near='mission bay')",Fringale is a nice restaurant near mission bay that does not allow children .,"['Fringale is close to mission bay but kid -s are not allowed .', 'Fringale is a nice restaurant near mission bay that does not allow child -s']",Fringale is close to mission bay but kid -s are not allowed .,6.0,6.0,6.0
801,"inform(name=fringale,near='mission bay',good_for_meal=dinner)",Fringale near mission bay is good for dinner .,"['There is a nice restaurant near mission bay named fringale , and is good for dinner .', 'Fringale is a nice restaurant near mission bay and is good for dinner .', 'Fringale is good for dinner and near mission bay']","There is a nice restaurant near mission bay named fringale , and is good for dinner .",5.0,5.0,5.0
802,"inform(name='fujiyama ya japanese restaurant',area='golden gate heights',price_range=cheap)",Fujiyama ya japanese restaurant is in the area of golden gate heights and it is in the cheap price range .,['Fujiyama ya japanese restaurant is in the golden gate heights area and is cheap .'],Fujiyama ya japanese restaurant is in the golden gate heights area and is cheap .,6.0,6.0,6.0
803,"inform(name='fujiyama ya japanese restaurant',food='japanese or sushi',phone='4156651772')",Fujiyama ya japanese restaurant serves japanese or sushi food . Their phone number is 4156651772 .,"['Fujiyama ya japanese restaurant serves japanese or sushi , the phone number is 4156651772 .']","Fujiyama ya japanese restaurant serves japanese or sushi , the phone number is 4156651772 .",5.0,5.0,5.0
804,"inform(name='gracias madre',area='mission dolores',price_range=cheap)",Gracias madre is in the area of mission dolores and it is in the cheap price range .,['Gracias madre is a cheap place in mission dolores .'],Gracias madre is a cheap place in mission dolores .,4.0,4.0,3.0
805,"inform(name='gracias madre',type=restaurant)",Gracias madre is a nice restaurant .,"['Gracias madre is another restaurant .', 'Gracias madre is the name of the restaurant .']",Gracias madre is another restaurant .,5.0,6.0,5.0
806,"inform(name='great eastern restaurant',address='649 jackson street')",The address for great eastern restaurant is 649 jackson street .,"['Great eastern restaurant -s address is 649 jackson street', 'Great eastern restaurant is located at 649 jackson street']",Great eastern restaurant -s address is 649 jackson street,6.0,4.0,4.0
807,"inform(name='great eastern restaurant',good_for_meal=lunch)",Great eastern restaurant is a good restaurant for lunch .,['I know of a great eastern restaurant that is good for lunch .'],I know of a great eastern restaurant that is good for lunch .,5.0,6.0,4.0
808,"inform(name='great eastern restaurant',near=chinatown)",Great eastern restaurant is near chinatown .,['The great eastern restaurant is near chinatown .'],The great eastern restaurant is near chinatown .,4.0,3.0,3.0
809,"inform(name='great eastern restaurant',near=chinatown,price_range=moderate)",Great eastern restaurant is a moderate restaurant near chinatown .,['Great eastern restaurant near chinatown is moderate -ly price -s'],Great eastern restaurant near chinatown is moderate -ly price -s,5.0,4.0,5.0
810,"inform(name='great eastern restaurant',phone='4159862500')",The phone number for great eastern restaurant is 4159862500 .,['Great eastern restaurant -s phone number is 4159862500'],Great eastern restaurant -s phone number is 4159862500,6.0,6.0,4.0
811,"inform(name='great eastern restaurant',type=restaurant)",Great eastern restaurant is a nice restaurant .,"['Great eastern restaurant is a nice restaurant', 'The great eastern restaurant is a nice restaurant .']",Great eastern restaurant is a nice restaurant,4.0,5.0,5.0
812,"inform(name=hakkasan,address='1 kearny street')",The address for hakkasan is 1 kearny street .,"['The address of hakkasan is 1 kearny street', ""Hakkasan 's address is 1 kearny street ."", 'Hakkasan is located at 1 kearny street', 'The address for hakkasan is 1 kearny street .', 'The address is 1 kearny street for hakkasan .']",The address of hakkasan is 1 kearny street,5.0,5.0,4.0
813,"inform(name=hakkasan,area='financial district',food=cantonese)","Hakkasan serves cantonese food , and is in the financial district area .","['Hakkasan is in financial district and serves cantonese .', 'Hakkasan in the financial district serves cantonese food', 'I would recommend hakkasan , as they serve cantonese food , allow child -s , and in the financial district .']",Hakkasan is in financial district and serves cantonese .,6.0,6.0,6.0
814,"inform(name='hakkasan',area='financial district or hayes valley')",Hakkasan is a nice restaurant in the financial district or hayes valley area .,"['Hakkasan is in financial district or hayes valley .', 'Hakkasan is located in the financial district or hayes valley', 'Hakkasan is in the financial district or hayes valley']",Hakkasan is in financial district or hayes valley .,5.0,6.0,5.0
815,"inform(name=hakkasan,kids_allowed=no)",Hakkasan is a nice restaurant that does not allow children .,"['No , hakkasan does not allow child -s', 'Sorry , hakkasan does not allow child -s', 'Hakkasan does not allow kid -s .']","No , hakkasan does not allow child -s",6.0,6.0,5.0
816,"inform(name=hakkasan,phone='4158298148')",The phone number for hakkasan is 4158298148 .,"['The phone number of hakkasan is 4158298148 .', 'The phone number for hakkasan is 4158298148', ""Hakkasan 's number is 4158298148"", 'The phone number for hakkasan is 4158298148 .']",The phone number of hakkasan is 4158298148 .,6.0,6.0,5.0
817,"inform(name=hakkasan,type=restaurant)",Hakkasan is a nice restaurant .,"['Hakkasan is a nice restaurant .', 'The name of the restaurant is hakkasan', 'I recommend hakkasan .', 'The name of the restaurant is hakkasan .']",Hakkasan is a nice restaurant .,6.0,6.0,6.0
818,"inform(name='helmand palace',address='2424 van ness avenue')",The address for helmand palace is 2424 van ness avenue .,"['The address of helmand palace is 2424 van ness avenue', 'The address for helmand palace is 2424 van ness avenue .', 'Helmand palace is located at 2424 van ness avenue']",The address of helmand palace is 2424 van ness avenue,6.0,6.0,6.0
819,"inform(name='helmand palace',food=afghan)",Helmand palace serves afghan food .,['Helmand palace serves afghan food .'],Helmand palace serves afghan food .,5.0,5.0,4.0
820,"inform(name='helmand palace',phone='4153450072')",The phone number for helmand palace is 4153450072 .,"[""Helmand palace 's phone number is 4153450072 ."", 'The phone number for helmand palace is 4153450072 .']",Helmand palace 's phone number is 4153450072 .,6.0,6.0,5.0
821,"inform(name='helmand palace',phone='4153450072',postcode='94109')",The phone number for helmand palace is 4153450072 and the postcode is 94109 .,['The phone number to helmand palace is 4153450072 and the postcode is 94109 .'],The phone number to helmand palace is 4153450072 and the postcode is 94109 .,6.0,6.0,6.0
822,"inform(name='helmand palace',price_range=expensive,kids_allowed=yes)",Helmand palace is expensive and allows children .,"['Helmand palace is in the expensive price range and allows child -s .', 'Helmand palace is expensive , and allows kid -s .', 'How about helmand palace , it fits your request where child -s are allowed with an expensive price range']",Helmand palace is in the expensive price range and allows child -s .,5.0,5.0,5.0
823,"inform(name='helmand palace',type=restaurant)",Helmand palace is a nice restaurant .,"['Helmand palace is a welsh restaurant .', 'Helmand palace is a nice restaurant .', 'The restaurant is helmand palace .']",Helmand palace is a welsh restaurant .,6.0,6.0,6.0
824,"inform(name='hong kong clay pot restaurant',food=chinese,near=chinatown,good_for_meal=dinner,kids_allowed=yes)",Hong kong clay pot restaurant is near chinatown and allows kids and serves chinese food and is good for dinner .,"['Hong kong clay pot restaurant is near chinatown and serves chinese food for dinner and allows kid -s .', 'Hong kong clay pot restaurant serves chinese for dinner and allows kid -s. it is near to chinatown .', 'Hong kong clay pot restaurant offers chinese dinner near chinatown and allows kid -s .']",Hong kong clay pot restaurant is near chinatown and serves chinese food for dinner and allows kid -s .,6.0,4.0,5.0
825,"inform(name='hong kong clay pot restaurant',price_range=cheap,kids_allowed=yes)",Hong kong clay pot restaurant is cheap and allows children .,"['Hong kong clay pot restaurant is a cheap restaurant where kid -s are allowed .', 'Hong kong clay pot restaurant is cheap and allows kid -s']",Hong kong clay pot restaurant is a cheap restaurant where kid -s are allowed .,6.0,5.0,4.0
826,"inform(name='house of nanking',food=chinese)",House of nanking serves chinese food .,['House of nanking serves chinese food .'],House of nanking serves chinese food .,5.0,5.0,5.0
827,"inform(name='house of nanking',good_for_meal=lunch,kids_allowed=no)",House of nanking does not allow kids and is good for lunch .,"['House of nanking is good for lunch and does not allow kid -s .', 'House of nanking is good for lunch and does not allow child -s']",House of nanking is good for lunch and does not allow kid -s .,6.0,4.0,4.0
828,"inform(name='house of nanking',kids_allowed=no,price_range=cheap)",House of nanking is an cheap restaurant that does not allow children .,"['House of nanking is a nice restaurant in the cheap price range that does not allow child -s .', 'The house of nanking is cheap and does not allow kid -s .']",House of nanking is a nice restaurant in the cheap price range that does not allow child -s .,6.0,5.0,4.0
829,"inform(name='house of nanking',phone='4154211429')",The phone number for house of nanking is 4154211429 .,"['The phone number for house of nanking is 4154211429', 'The phone number of house of nanking is 4154211429 .']",The phone number for house of nanking is 4154211429,6.0,4.0,4.0
830,"inform(name='house of nanking',type=restaurant)",House of nanking is a nice restaurant .,['House of nanking is a nice restaurant .'],House of nanking is a nice restaurant .,6.0,6.0,6.0
831,"inform(name='jasmine garden',address='708 1fourth street',phone='4158612682')",The address of jasmine garden is 708 1fourth street and the phone number is 4158612682 .,"['Jasmine garden is at 708 1fourth street and the phone number is 4158612682 .', ""The jasmine garden restaurant 's address is 708 1fourth street and the phone number is 4158612682""]",Jasmine garden is at 708 1fourth street and the phone number is 4158612682 .,6.0,4.0,5.0
